content_hash,total_rows,nlabels,pos_count,neg_count
00055b2a0d9dff44f9851cd3508b2f5e1bdbde55,1,1,1,0
000a425415aed57509f7bdafb5ea084a6b5ff7fe,1,1,0,1
000ab32d35ed9a20cdaf37127fcf84784d276ffe,1,1,0,1
00100fe6c9c79dd03dac033f12a1d34c5a768c32,1,1,1,0
00103f243c89bbb153c143c4f2d0ac5b250129b6,1,1,0,1
0015570997f35174eab9ec1bacea457c0a86c741,1,1,0,1
001775adc516ca3f96842402c42643e9a6baf71a,1,1,0,1
001b02bccf7f1cf6683a2670fe5eeb381ab6ea55,1,1,0,1
00206b775c9199d755cd7833e1be4487489a3397,1,1,0,1
002781e9c6ecb6e9bdfa289cb1c30021e3079716,1,1,1,0
002f1fe74e33fb8977051dec3671004ceba4364c,1,1,0,1
002fad1b6112f7da6b2f18ff28d38582afe5a030,1,1,0,1
00307e1c79d96a77da3e73fb339d51533a28a291,1,1,0,1
00327365e501b531b3a4a9255ef2183e408b02df,1,1,1,0
00368a7617481519f8f829be70cbcc97b05989b3,1,1,0,1
0039fd7cfccc3c648135785cfd7d27f71d04a329,1,1,1,0
0053ece4e36e500a27db71e9542a8438064740f8,1,1,0,1
0058d310a94004600fa5329faf5575d119c85558,1,1,0,1
005cf0178085cfa49703091313fb9572902d4b1d,1,1,0,1
0061126136ddefa781ae967e21eb660fe790cca3,1,1,1,0
006626ec86a942a0e249419df1d7449e552a92ca,1,1,0,1
006ac32a4660630de9a7fb6ffd43c2251faeb705,1,1,1,0
006b9f8d5bf6662a343890c0816a5658f3b5469d,1,1,0,1
006d8e06b976a2043dfeb6df963e9a388f258396,1,1,0,1
006ed5411fc23ff25f8e63619eabee1e715e3639,1,1,0,1
00727511ef18934a3f462efb3bcb713c606cfb69,1,1,0,1
007ae253e5f6444941145527735411357a233640,1,1,1,0
007bc572e15c4c0a6be8acc980e8c67451be1d96,1,1,0,1
007d723b8afaa69fbc8cee3c26e4ebb24a9d86cc,1,1,0,1
007f0ac4006fc9291dd24f7208656565acfba84e,1,1,0,1
0081d761a613116c4a8b2fb215c012f37d968032,1,1,0,1
008284f2cd9b5a55dab717bc6a1d32f530025114,1,1,0,1
0086b20dec3aba903167eeed10e70de2e40c28bb,1,1,0,1
0093c3cf94599f74c1479db239b80a3fcc7fb59c,1,1,0,1
00974d2db356f3d2f8c1888595850b353ec10423,1,1,0,1
0098dda284f2eef0d0b48dcaa372baf37f472e61,1,1,0,1
0099e3d68279137ae2a38cb04675347c0aba0508,1,1,0,1
00a071d578a7b2abec7cfebb6dd75a067e580602,1,1,0,1
00a19acde143c4f9a1c8d51f53667303b89d70a6,1,1,0,1
00a6e6b0847ccc0bb68d083510da9c922f58e742,1,1,0,1
